"","symbol","logFC"
"239","FSHB",-3.46715890818614
"240","KRT17P1",4.06469803610198
"241","SLC52A1",3.11272097416691
"242","CRP",3.42816104106333
"243","VSTM2L",5.05819872531067
"244","ANGPTL3",-3.38152032625861
"245","SLC14A2",-7.20529801353208
"246","NMUR2",-3.77213561694308
"247","GPR12",-3.68684975029633
"248","MYBPH",-3.03092090566024
"249","CHIT1",6.98665405092592
"250","PDZD2",-3.19149436161463
"251","NTS",-4.29195900201552
"252","DUSP26",-3.27001133189315
"253","ADAMDEC1",3.16861772772361
"254","MRO",-3.31432042783935
"255","CNTN6",5.5071620864854
"256","TSHB",-3.26187023572659
"257","HMGCS2",-3.61833433447825
"258","SAA2",3.90968643434858
"259","FOLH1B",-5.29102956092834
"260","TCN1",4.97121713703571
"261","GGACT",-3.63077736808397
"262","SLC37A2",3.05995529695525
"263","SDS",4.21883625555289
"264","HRK",4.44847936299537
"265","CGA",-4.11216907430632
"266","ELF5",-5.31555888110101
"267","TROAP",3.29595495666406
"268","SERPINE2",3.27563606274847
"269","SCEL",4.91770097422046
"270","IGF2BP3",3.55493874753312
"271","DGKB",-3.32128148765458
"272","NKX2-8",5.2451027950012
"273","GALNT5",3.85658878648666
"274","SCN7A",-3.46793558237531
"275","ALDOB",-6.68431215011186
"276","LMX1B",-3.77153723030004
"277","HCRTR2",-6.85122223321189
"278","UNC13C",-3.44585219675836
"279","PAK6",-3.21689212775106
"280","SLC28A2",-3.43527116558172
"281","STRA6",-3.63218339657063
"282","DNASE2B",4.76531563632673
"283","CEP55",3.0072336894761
"284","ADAMTS14",3.48896827625169
"285","CHRNA1",7.13235245306068
"286","GPAT3",-3.05621068624969
"287","BMPR1B",-3.13748531613213
"288","EGF",-6.22264577220815
"289","MTTP",-4.82131235056818
"290","PIK3C2G",-4.15288479150492
"291","LGR5",-4.01317557156091
"292","PTPRQ",-4.79215346242273
"293","CELA1",3.06747465096152
"294","RDH12",-3.07608057848912
"295","CYP1A1",-3.80508096998317
"296","RHCG",-4.32932663177595
"297","SH3GL3",-4.10434605233426
"298","SLC5A2",-4.10632127105372
"299","ITGAX",3.39913112634917
"300","MYLK3",-4.08082139701444
"301","NKD1",-3.38189883537647
"302","SLC14A1",-3.67088028821618
"303","PGGHG",3.59787099659047
"304","DNMT3L",-4.43893507493955
"305","IL19",-3.09891459936628
"306","FBN3",-4.43944463282273
"307","PRDM16",-5.06314423656394
"308","PADI3",3.5678268816207
"309","PADI1",3.14674062691846
"310","DPT",-4.17040225044619
"311","NR1I3",-3.0520055568217
"312","SYT14",3.07496699792765
"313","REN",-4.82152593930328
"314","ATP6V1C2",-3.74140274730888
"315","REG3G",3.30777594515223
"316","NXPH2",-4.09744676665201
"317","ABCA12",3.71113150427534
"318","TRPM8",4.52566184550981
"319","GADL1",-5.22243890533147
"320","ADGRG7",3.18953877036858
"321","TM4SF19",3.98705264832009
"322","ANK2",-3.03185151026303
"323","BHMT",-3.34672483660982
"324","CRHBP",-6.12223638795381
"325","ADAMTS19",-4.08016599755728
"326","CPLX2",5.66281872540314
"327","TENM2",-3.72701588573389
"328","PLA2G7",4.08800956530555
"329","RASGEF1C",3.21463082258265
"330","LGSN",-3.76812083179677
"331","SCUBE3",-3.1774542673986
"332","PRSS35",-3.06875278777914
"333","SLC2A12",-3.82717145618235
"334","ASB15",-7.86199422519204
"335","ASB10",-4.24582955209903
"336","AKAP4",-3.72863433748609
"337","GPC3",-3.47587884725866
"338","RGS20",3.3700110201178
"339","DNAJC5B",4.67152949730054
"340","SLC26A7",-4.51232741555951
"341","PSKH2",-5.46601795947488
"342","ATP6V0D2",-4.0437458844039
"343","CDKN2A",4.55668415570243
"344","PLPPR1",-3.33156985110443
"345","CRB2",-3.34151887231864
"346","LCN2",4.25583568174506
"347","ST8SIA6",-3.8510563401811
"348","CDHR1",4.79866340732354
"349","PLEKHS1",-3.11220493798862
"350","NKX6-2",-3.01166456775622
"351","SLC5A12",-4.23469842268927
"352","SLC43A1",-3.02350949538955
"353","HTR3B",-4.0907248219667
"354","SLC22A8",-5.97379952794004
