id	filename	md5	size	state
2b739201-7e8b-4acd-a73d-013d3db10c9b	2b739201-7e8b-4acd-a73d-013d3db10c9b/unc.edu.b1b5fed3-7697-4d4f-9d7a-e7ed8a713b70.2416490.rsem.genes.results	5043ed4c62ce5c035a5c30fdf2debe24	1525340	validated
3630a4db-1d16-471b-938d-670e35ea5816	3630a4db-1d16-471b-938d-670e35ea5816/unc.edu.f86950ae-1ac2-4794-83f1-541920a0b002.1222958.rsem.genes.results	6a7308dde5b6e9a96738739dff5442d3	1520848	validated
53ef6f8c-bbc2-4acc-b066-8ac0c15ff630	53ef6f8c-bbc2-4acc-b066-8ac0c15ff630/unc.edu.74d7c232-3a85-4e1a-8f0e-0c33f4c63064.1976858.rsem.genes.results	c70b61f9e7add85424d6ff5d2ed278f7	1496733	validated
583da0e4-6a11-4f1d-b749-3048bc93f931	583da0e4-6a11-4f1d-b749-3048bc93f931/unc.edu.e8a47fb0-6482-46e7-a0d6-b09ad8f06943.1330011.rsem.genes.results	843324bda461698a2126fa4b0ca94896	1510357	validated
59108aa6-0e0c-4753-81fc-e603ea157310	59108aa6-0e0c-4753-81fc-e603ea157310/unc.edu.e912621f-4803-46d2-a056-378dc3fcf8b4.1200841.rsem.genes.results	186a2b7d226ae9ceff000e9ec17f2137	1512260	validated
5ee5a46a-ce7d-4fb6-9e7a-0ef1680c74b9	5ee5a46a-ce7d-4fb6-9e7a-0ef1680c74b9/unc.edu.d9d35aa6-5185-4da7-b794-6f0b07242b61.1199147.rsem.genes.results	525c72e9d4a1cb6b925a2df94ea97146	1492693	validated
603fba9f-a43f-47f7-b080-38cf21476d4d	603fba9f-a43f-47f7-b080-38cf21476d4d/unc.edu.5bd1027a-26ba-4375-a09a-bf301014902c.2160053.rsem.genes.results	dc4895f637d1dc82f420baf7c23031ab	1499730	validated
6e03deea-2833-4ce1-9951-9158331d0d1a	6e03deea-2833-4ce1-9951-9158331d0d1a/unc.edu.257b1ca1-26d1-4888-8bc0-6b30d14d4509.1180854.rsem.genes.results	7d0abfe82fbba162c8fa78875e4403d3	1497946	validated
7ecef707-7a14-4b7b-bfbf-6bdea89857c1	7ecef707-7a14-4b7b-bfbf-6bdea89857c1/unc.edu.a63458a8-5d84-4689-9fd9-ec0f29d8e505.2108270.rsem.genes.results	8de483b4f915844d50ba58c53683e2af	1501482	validated
8276f0a1-0cff-42ec-b36a-d2d84ef0aa72	8276f0a1-0cff-42ec-b36a-d2d84ef0aa72/unc.edu.d534dba4-b034-4451-9886-d66cdb7c7ef7.1950834.rsem.genes.results	6b3b593543cc389e8c6a58b4fbcecbda	1491836	validated
8bc4733d-bef6-41ca-a329-74c876b8ace8	8bc4733d-bef6-41ca-a329-74c876b8ace8/unc.edu.1b4be6ae-b4cd-4dcf-8c06-77328ba6e034.2442465.rsem.genes.results	36a2e39a86af5358d0a535b6b541f57f	1518958	validated
8fe71222-8c45-4cb3-9c18-a7c02be96a5e	8fe71222-8c45-4cb3-9c18-a7c02be96a5e/unc.edu.acc5858f-0f2c-4ed1-87f7-555249ae86db.2584409.rsem.genes.results	0119c232a0746576d055e0c86d3e424b	1496000	validated
91b97267-c82c-4654-9f96-c47b3c4bdfc4	91b97267-c82c-4654-9f96-c47b3c4bdfc4/unc.edu.5ff01070-167d-43b6-bb87-88b2f82b99ba.1281491.rsem.genes.results	3d4a1ed6835474fd14dcd4689852cfa3	1521999	validated
aad23078-8dce-4a8e-bc53-f9a286279710	aad23078-8dce-4a8e-bc53-f9a286279710/unc.edu.71928637-4db6-4c1a-8127-7d5b0446996e.2446368.rsem.genes.results	f01ede391221d670fa6313e3f853d3f5	1503181	validated
b092a581-1fc4-4576-a66d-626ce1e92bf9	b092a581-1fc4-4576-a66d-626ce1e92bf9/unc.edu.23ced7be-8bc1-4e9a-8a10-54c170a485b7.2507057.rsem.genes.results	7ddc9b04aa9138a7a50318e61a242ef3	1512036	validated
b8222100-ee50-429e-aa9a-d087709b3077	b8222100-ee50-429e-aa9a-d087709b3077/unc.edu.b7e0eaf4-ff94-413e-8c1c-6b95c9167eb1.1977027.rsem.genes.results	b47ee439a003576aca4ea50f9ec6ddbc	1516500	validated
c1358063-1a66-4c49-9aa6-05f55de6be89	c1358063-1a66-4c49-9aa6-05f55de6be89/unc.edu.cb2d1ac9-521e-4d81-9032-ac13c3528da7.2029046.rsem.genes.results	27c4f6905a31d70172472b94b030ddb3	1507858	validated
c9845d5f-e07f-4b3c-859e-bca361d311f1	c9845d5f-e07f-4b3c-859e-bca361d311f1/unc.edu.5f66ae56-8f05-412a-8c47-0e7012849f64.2584318.rsem.genes.results	551b430af458f8419d878905456c163c	1501354	validated
cbb41fa2-d515-4ec5-8a40-e75df872cca1	cbb41fa2-d515-4ec5-8a40-e75df872cca1/unc.edu.9e197f2d-f9bc-4f6e-9f7d-03c69843e6ed.2585594.rsem.genes.results	e28d4755681bf1dd27f1adff99fcf3cd	1514343	validated
db1ce33b-178b-42f1-8416-044407d289a4	db1ce33b-178b-42f1-8416-044407d289a4/unc.edu.f3a29451-e125-4894-9d9a-c45d31e4d999.1252088.rsem.genes.results	41e341761f8b6ae7ceda0ce353a96c75	1516701	validated
e54f656d-2fc7-445c-ba08-84ec8564f167	e54f656d-2fc7-445c-ba08-84ec8564f167/unc.edu.d4c11d19-2467-4cb5-a351-d409cb3deea4.1962872.rsem.genes.results	da410dbc54e1b51db595f953e9f10dd3	1503519	validated
f29e9cf7-ce28-4a4e-833d-a8bc3b5f91c1	f29e9cf7-ce28-4a4e-833d-a8bc3b5f91c1/unc.edu.2f422234-9f11-47e7-9241-de464f2b3250.2605125.rsem.genes.results	fc8852e0c4704ae449adb3062e9dd74a	1479736	validated
f69d1cd2-a39c-43d5-929b-b8f664054efc	f69d1cd2-a39c-43d5-929b-b8f664054efc/unc.edu.d10a636b-9077-4863-b993-4d5bddd549eb.2477396.rsem.genes.results	d8991b84d3b5859c50ae862d1213c84a	1503550	validated
